,name,floorSize,price,lat,lng
0," 6036 Moonstone Peak Dr Bakersfield, CA 93313 ","1,898 sqft","$238,956",35.275806,-119.06989
1," 888 W E St #1803 San Diego, CA 92101 ","1,276 sqft","$1,449,900",32.71504,-117.170715
2," 5535 Ackerfield Ave #26 Long Beach, CA 90805 ","1,069 sqft","$369,000",33.857777,-118.163666
3," 1919 W Coronet Ave #161 Anaheim, CA 92801 ","1,440 sqft","$150,000",33.852856,-117.948494
4," 11186 Berryknoll St San Diego, CA 92126 ","1,525 sqft","$679,000",32.92506,-117.15581
5," 445 Island Ave #410 San Diego, CA 92101 ",807 sqft,"$399,000",32.71014,-117.16057
6," 200 Harbor Dr #3001 San Diego, CA 92101 ","1,572 sqft","$1,230,000",32.708916,-117.16249
7," 2046 Cedar Ave #A Long Beach, CA 90806 ","5,730 sqft","$1,150,000",33.7944,-118.1945
8," 327 Salta Verde Point Long Beach, CA 90803 ","2,560 sqft","$1,760,285",33.76312,-118.12057
9," 2107 Ellen Way Bakersfield, CA 93304 ","1,040 sqft","$137,700",35.344307,-119.026665
10," Via Marisol Lomitas Dr Los Angeles, CA 90042 ","42,288 sqft","$325,000",34.1142,-118.1917
11," 11693 Daisy Ct Mira Loma, CA 91752 ","3,077 sqft","$601,990",34.00219,-117.53883
12," 430 Navaro Pl #121 San Jose, CA 95134 ",948 sqft,"$690,000",37.401062,-121.92329
13," Envoy Plan in Locan Pointe by Century Communities Fresno, CA 93737 ","2,532 sqft","$341,990+",36.779163,-119.65544
14," Plan 2 Option 1 in Encore at Playa Vista by Taylor Morrison Playa Vista, CA 90094 ","3,627 sqft","$3,100,000+",33.976948,-118.413734
15," 499 33rd Ave #308 San Francisco, CA 94121 ","1,743 sqft","$1,310,000",37.779987,-122.49368
16," 729 Francis St Bakersfield, CA 93308 ",400 sqft,"$70,000",35.41995,-119.03669
17," 533 S Saint Andrews Pl #305 Los Angeles, CA 90020 ",715 sqft,"$399,000",34.064384,-118.312065
18," 1022 W 18th St Santa Ana, CA 92706 ","1,640 sqft","$759,900",33.760746,-117.87952
19," 3062 Via Papeete San Diego, CA 92154 ","1,258 sqft","$470,000",32.58207,-117.066124
20," 51 Tesoro Irvine, CA 92618 ","2,459 sqft","$1,500,000",33.64323,-117.75884
21," 191 E Escalon Ave Fresno, CA 93710 ","1,535 sqft","$265,000",36.826286,-119.78604
