,name,floorSize,price,lat,lng
0,"13691 Gavina Ave UNIT 456, Sylmar, CA 91342","1,800 sqft","$230,000",34.32162,-118.405085
1,"594 S Mapleton Dr, Los Angeles, CA 90024","56,500 sqft","$165,000,000",34.0731822,-118.4290192
2,"2825 Elm St, Los Angeles, CA 90065","1,551 sqft","$929,000",34.0984989,-118.2321643
3,"15455 Glenoaks Blvd SPACE 408, Sylmar, CA 91342","2,221 sqft","$399,000",34.323409,-118.469445
4,"9131 Burnet Ave UNIT 13, North Hills, CA 91343","1,130 sqft","$449,000",34.2361809,-118.4633154
5,"10979 Chalon Rd, Los Angeles, CA 90077","32,000 sqft","$68,500,000",34.084185,-118.4598
6,"71 Beverly Park, Beverly Hills, CA 90210","30,500 sqft","$87,500,000",34.126936,-118.41785
7,"4676 Don Lorenzo Dr APT D, Los Angeles, CA 90008","1,190 sqft","$699,000",34.00106,-118.35811
8,"777 Sarbonne Rd, Los Angeles, CA 90077",-- sqft,"$87,777,777",34.0843461,-118.4504298
9,"7742 Redlands St UNIT H1026, Playa Del Rey, CA 90293","1,050 sqft","$639,000",33.9582093,-118.4325503
10,"14608 Killion St, Van Nuys, CA 91411","1,526 sqft","$1,399,000",34.171128,-118.451034
11,"2780 Wright Ln, Los Angeles, CA 90068","2,194 sqft","$1,248,800",34.038798,-118.273117
12,"12427 W Sunset Blvd, Los Angeles, CA 90049","3,296 sqft","$3,399,000",34.0578593,-118.4811084
13,"3712 Broadlawn Dr, Los Angeles, CA 90068","5,321 sqft","$6,390,000",34.1310093,-118.3588309
14,"10614 Chalon Rd, Los Angeles, CA 90077","10,682 sqft","$32,000,000",34.0848112,-118.4460753
15,"24425 Woolsey Canyon Rd SPACE 96, West Hills, CA 91304","1,152 sqft","$139,900",34.243981,-118.650472
16,"11288 Dona Lisa Dr, Studio City, CA 91604","3,041 sqft","$3,795,000",34.130554,-118.376182
17,"1445 Belfast Dr, Los Angeles, CA 90069","2,423 sqft","$3,250,000",34.0968165,-118.3812557
18,"10265 Horsehaven St, Sun Valley, CA 91352","3,045 sqft","$1,650,000",34.236404,-118.354582
